Comment,Footprint,Designator
100nF,CAP0402,"C1, C2, C3, C5, C6, C7, C8, C9, C10, C11, C12"
10K Ohms,RES0402,"R1, R13, R14, R15, R16, R17, R18, R19, R20"
10uF,CAP0603,"C13, C14"
1K Ohms,RES0402,"R2, R3, R5, R6, R7, R8, R9, R10, R11, R12, R21, R22, R23, R24, R25"
1uF,CAP0402,"C4, C15"
330 Ohms,RES0402,R4
LED0603,0603,D1
LED0603,0603,"D2, D3, D4, D5"
LED0603,0603,D10
LED0603,0603,"D6, D7, D8, D9"
