Designator,Mid X,Mid Y,Rotation,Layer
R26,66.00,33.70,180.00,T
R27,64.00,33.70,0.00,T
R28,67.10,39.20,225.00,T
R29,67.20,36.20,90.00,T
R3,22.80,7.50,90.00,T
R30,70.30,41.10,225.00,T
R31,68.60,39.40,45.00,T
R32,69.00,44.20,270.00,T
R33,69.00,42.00,90.00,T
R34,64.80,46.80,270.00,T
R35,66.30,46.80,270.00,T
R36,83.90,7.60,0.00,T
R37,83.90,19.60,0.00,T
R38,83.90,31.60,0.00,T
R39,83.90,43.60,0.00,T
R4,3.10,13.00,90.00,T
R40,83.90,55.60,0.00,T
R41,91.75,8.75,180.00,T
R42,91.75,20.75,180.00,T
R43,91.75,32.75,180.00,T
R44,91.75,44.75,180.00,T
R45,91.75,56.75,180.00,T
R46,6.25,30.75,90.00,T
R47,5.25,30.75,270.00,T
R48,19.75,13.50,180.00,T
R49,31.00,18.00,270.00,T
R5,14.50,5.25,270.00,T
R50,4.90,22.75,270.00,T
R51,2.00,28.25,0.00,T
R52,30.00,18.00,270.00,T
R53,30.00,20.00,270.00,T
R54,2.00,25.25,180.00,T
R55,2.00,26.25,0.00,T
R56,2.00,23.25,180.00,T
R57,12.15,30.80,270.00,T
R58,10.60,31.30,0.00,T
R59,15.90,19.75,90.00,T
R6,20.80,7.50,270.00,T
R60,17.40,19.25,180.00,T
R7,5.75,14.50,180.00,T
R8,23.80,7.50,270.00,T
R9,28.50,59.00,180.00,T
U11,88.30,9.40,270.00,T
U12,88.30,21.40,270.00,T
U13,88.30,33.40,270.00,T
U14,88.30,45.40,270.00,T
U15,88.30,57.40,270.00,T
U2,51.40,33.60,90.00,T
U3,32.10,50.50,180.00,T
